"Cabernet Sauvignon","{'Count': 1148, 'Attributes': {u'Big &amp; Bold': 516, u'Smooth &amp; Supple': 267, u'Light &amp; Fruity': 1, u'Earthy &amp; Spicy': 30}, 'WineType': {u'Red Wines': 1148}}"
"Fruit Wine","{'Count': 8, 'Attributes': {}, 'WineType': {u'Dessert, Fortified & Fruit Wines': 8}}"
"Non-Vintage","{'Count': 275, 'Attributes': {u'Fruity &amp; Smooth': 3}, 'WineType': {u'Champagne & Sparkling': 275}}"
"Pinotage","{'Count': 13, 'Attributes': {u'Big &amp; Bold': 1, u'Smooth &amp; Supple': 1, u'Light &amp; Crisp': 1, u'Earthy &amp; Spicy': 6}, 'WineType': {u'Red Wines': 13}}"
"Junmai-Daiginjo","{'Count': 4, 'Attributes': {}, 'WineType': {u'Sake': 4}}"
"Other White Wine","{'Count': 212, 'Attributes': {u'Rich &amp; Creamy': 5, u'Light &amp; Crisp': 79, u'Fruity &amp; Smooth': 71}, 'WineType': {u'White Wines': 212}}"
"Malbec","{'Count': 196, 'Attributes': {u'Big &amp; Bold': 50, u'Smooth &amp; Supple': 86, u'Light &amp; Fruity': 1, u'Earthy &amp; Spicy': 12}, 'WineType': {u'Red Wines': 196}}"
"Rhone White Blends","{'Count': 51, 'Attributes': {u'Rich &amp; Creamy': 6, u'Light &amp; Crisp': 10, u'Fruity &amp; Smooth': 21}, 'WineType': {u'White Wines': 51}}"
"Primitivo","{'Count': 17, 'Attributes': {u'Big &amp; Bold': 4, u'Smooth &amp; Supple': 7, u'Earthy &amp; Spicy': 3}, 'WineType': {u'Red Wines': 17}}"
"Gamay","{'Count': 66, 'Attributes': {u'Light &amp; Fruity': 16, u'Smooth &amp; Supple': 26, u'Earthy &amp; Spicy': 1, u'Big &amp; Bold': 2}, 'WineType': {u'Red Wines': 66}}"
"Other Red Blends","{'Count': 761, 'Attributes': {u'Big &amp; Bold': 199, u'Smooth &amp; Supple': 254, u'Light &amp; Fruity': 8, u'Earthy &amp; Spicy': 65}, 'WineType': {u'Red Wines': 761}}"
"Junmai-Ginjo","{'Count': 6, 'Attributes': {}, 'WineType': {u'Sake': 6}}"
"Barbera","{'Count': 53, 'Attributes': {u'Light &amp; Fruity': 2, u'Smooth &amp; Supple': 29, u'Earthy &amp; Spicy': 1, u'Big &amp; Bold': 6}, 'WineType': {u'Red Wines': 53}}"
"Mourvedre","{'Count': 26, 'Attributes': {u'Big &amp; Bold': 3, u'Smooth &amp; Supple': 11, u'Earthy &amp; Spicy': 6}, 'WineType': {u'Red Wines': 26}}"
"Carmenere","{'Count': 42, 'Attributes': {u'Big &amp; Bold': 11, u'Smooth &amp; Supple': 7, u'Earthy &amp; Spicy': 10}, 'WineType': {u'Red Wines': 42}}"
"Port","{'Count': 110, 'Attributes': {u'Big &amp; Bold': 1}, 'WineType': {u'Dessert, Fortified & Fruit Wines': 110}}"
